id,gold_label,gpt_result,gpt_result_mapped
0,white_grievance,E:,stereotypical
1,irony,B:,incitement
2,white_grievance,E:,stereotypical
3,stereotypical,F:,threatening
4,stereotypical,E:,stereotypical
5,white_grievance,E:,stereotypical
6,white_grievance,C:,inferiority
7,white_grievance,E:,stereotypical
8,incitement,E:,stereotypical
9,white_grievance,A:,white_grievance
10,white_grievance,E:,stereotypical
11,stereotypical,E:,stereotypical
12,white_grievance,E:,stereotypical
13,stereotypical,E:,stereotypical
14,white_grievance,E:,stereotypical
15,stereotypical,E:,stereotypical
16,incitement,E:,stereotypical
17,incitement,B:,incitement
18,incitement,A:,white_grievance
19,incitement,B:,incitement
20,stereotypical,E:,stereotypical
21,white_grievance,A:,white_grievance
22,incitement,E:,stereotypical
23,irony,C:,inferiority
24,other,A:,white_grievance
25,white_grievance,E:,stereotypical
26,stereotypical,F:,threatening
27,stereotypical,C:,inferiority
28,incitement,B:,incitement
29,white_grievance,E:,stereotypical
30,white_grievance,E:,stereotypical
31,incitement,F:,threatening
32,stereotypical,C:,inferiority
33,white_grievance,E:,stereotypical
34,threatening,B:,incitement
35,white_grievance,E:,stereotypical
36,incitement,E:,stereotypical
37,incitement,E:,stereotypical
38,incitement,B:,incitement
39,white_grievance,E:,stereotypical
40,incitement,A:,white_grievance
41,incitement,A:,white_grievance
42,incitement,E:,stereotypical
43,incitement,B:,incitement
44,white_grievance,E:,stereotypical
45,other,E:,stereotypical
46,inferiority,E:,stereotypical
47,stereotypical,E:,stereotypical
48,stereotypical,C:,inferiority
49,stereotypical,E:,stereotypical
50,stereotypical,E:,stereotypical
51,white_grievance,E:,stereotypical
52,irony,E:,stereotypical
53,stereotypical,E:,stereotypical
54,white_grievance,E:,stereotypical
55,white_grievance,E:,stereotypical
56,stereotypical,E:,stereotypical
57,incitement,B:,incitement
58,threatening,F:,threatening
59,other,E:,stereotypical
60,incitement,E:,stereotypical
61,stereotypical,E:,stereotypical
62,threatening,E:,stereotypical
63,white_grievance,B:,incitement
64,white_grievance,E:,stereotypical
65,incitement,E:,stereotypical
66,incitement,E:,stereotypical
67,incitement,E:,stereotypical
68,stereotypical,E:,stereotypical
69,incitement,E:,stereotypical
70,stereotypical,E:,stereotypical
71,white_grievance,E:,stereotypical
72,incitement,F:,threatening
73,stereotypical,E:,stereotypical
74,incitement,E:,stereotypical
75,white_grievance,E:,stereotypical
76,stereotypical,C:,inferiority
77,white_grievance,E:,stereotypical
78,white_grievance,C:,inferiority
79,stereotypical,E:,stereotypical
80,white_grievance,E:,stereotypical
81,white_grievance,E:,stereotypical
82,stereotypical,E:,stereotypical
83,stereotypical,B:,incitement
84,stereotypical,C:,inferiority
85,white_grievance,A:,white_grievance
86,white_grievance,E:,stereotypical
87,incitement,B:,incitement
88,incitement,B:,incitement
89,inferiority,E:,stereotypical
90,white_grievance,E:,stereotypical
91,stereotypical,E:,stereotypical
92,incitement,E:,stereotypical
93,white_grievance,E:,stereotypical
94,white_grievance,E:,stereotypical
95,stereotypical,E:,stereotypical
96,stereotypical,E:,stereotypical
97,incitement,A:,white_grievance
98,inferiority,C:,inferiority
99,white_grievance,A:,white_grievance
100,white_grievance,E:,stereotypical
101,stereotypical,E:,stereotypical
102,other,E:,stereotypical
103,stereotypical,E:,stereotypical
104,inferiority,E:,stereotypical
105,white_grievance,E:,stereotypical
106,other,E:,stereotypical
107,other,E:,stereotypical
108,stereotypical,E:,stereotypical
109,incitement,E:,stereotypical
110,incitement,E:,stereotypical
111,incitement,B:,incitement
112,stereotypical,E:,stereotypical
113,white_grievance,E:,stereotypical
114,stereotypical,E:,stereotypical
115,white_grievance,E:,stereotypical
116,stereotypical,E:,stereotypical
117,stereotypical,F:,threatening
118,stereotypical,E:,stereotypical
119,stereotypical,B:,incitement
120,stereotypical,E:,stereotypical
121,white_grievance,A:,white_grievance
122,stereotypical,C:,inferiority
123,stereotypical,E:,stereotypical
124,incitement,A:,white_grievance
125,white_grievance,E:,stereotypical
126,white_grievance,B:,incitement
127,incitement,E:,stereotypical
128,incitement,A:,white_grievance
129,stereotypical,F:,threatening
130,white_grievance,E:,stereotypical
131,stereotypical,E:,stereotypical
132,irony,E:,stereotypical
133,inferiority,E:,stereotypical
134,stereotypical,E:,stereotypical
135,stereotypical,E:,stereotypical
136,irony,E:,stereotypical
137,incitement,E:,stereotypical
138,white_grievance,F:,threatening
139,white_grievance,F:,threatening
140,white_grievance,E:,stereotypical
141,incitement,E:,stereotypical
142,white_grievance,E:,stereotypical
143,white_grievance,E:,stereotypical
144,incitement,E:,stereotypical
145,incitement,E:,stereotypical
146,white_grievance,A:,white_grievance
147,white_grievance,A:,white_grievance
148,stereotypical,E:,stereotypical
149,stereotypical,E:,stereotypical
150,incitement,C:,inferiority
151,other,C:,inferiority
152,stereotypical,E:,stereotypical
153,stereotypical,E:,stereotypical
154,stereotypical,E:,stereotypical
155,incitement,A:,white_grievance
156,incitement,B:,incitement
157,white_grievance,E:,stereotypical
158,white_grievance,E:,stereotypical
159,inferiority,C:,inferiority
160,incitement,E:,stereotypical
161,incitement,A:,white_grievance
162,stereotypical,E:,stereotypical
163,threatening,B:,incitement
164,incitement,A:,white_grievance
165,stereotypical,B:,incitement
166,white_grievance,E:,stereotypical
167,white_grievance,E:,stereotypical
168,white_grievance,E:,stereotypical
169,incitement,A:,white_grievance
170,white_grievance,E:,stereotypical
171,incitement,E:,stereotypical
172,incitement,E:,stereotypical
173,incitement,E:,stereotypical
174,incitement,B:,incitement
175,white_grievance,F:,threatening
176,incitement,E:,stereotypical
177,incitement,B:,incitement
178,incitement,E:,stereotypical
179,inferiority,C:,inferiority
180,white_grievance,E:,stereotypical
181,incitement,E:,stereotypical
182,white_grievance,E:,stereotypical
183,stereotypical,E:,stereotypical
184,incitement,E:,stereotypical
185,stereotypical,E:,stereotypical
186,stereotypical,E:,stereotypical
187,stereotypical,E:,stereotypical
188,stereotypical,E:,stereotypical
189,incitement,B:,incitement
