,sentence,gold_label,gpt_label,gold_label_text
0,two years I stayed alone,0,7,Preposition Omission
1,at the Tirupati temple I stayed one or two days,1,22,None of the Above
2,person I like most is from the mechanical department,2,9,Article Omission
3,there are five balls,1,1,None of the Above
4,I like the cake very much.,1,1,None of the Above
5,every year inflation is there,3,6,"Non-initial Existential ""is / are there"""
6,"My parents and siblings and all, they really enjoy playing board games.",4,12,"General Extender ""and all"""
7,I was there yesterday only,5,16,Focus Only
8,some flower part is there,3,18,"Non-initial Existential ""is / are there"""
9,"My parents and siblings and all, they really enjoy playing board games.",6,1,Left Dislocation
10,My old life I want to spend in India.,1,12,None of the Above
11,as recently as April there was a big fight,1,1,None of the Above
12,Some teachers when I was in school I liked them very much.,7,11,Resumptive Object Pronoun
13,we want to know how we can make your favorite dish,1,1,None of the Above
14,tomorrow you have to try this cake,1,1,None of the Above
15,Here life is busy.,1,1,None of the Above
16,My old life I want to spend it in India.,6,2,Left Dislocation
17,"A person living in Calcutta, which he didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",8,1,Resumptive Subject Pronoun
18,they use proper grammar there,1,1,None of the Above
19,So that time they said okay go and work for a few months.,0,16,Preposition Omission
20,they use proper grammars there,9,1,Mass Nouns As Count Nouns
21,So at that time they said okay go and work for a few months.,1,20,None of the Above
22,She has business experience.,1,22,None of the Above
23,he talk to them,10,1,Lack Of Agreement
24,person I like most is from mechanical department,2,0,Article Omission
25,You get on the train and buy the ticket there only,5,12,Focus Only
26,nowadays all the children they are mature from a very early age,6,13,Left Dislocation
27,in the daytime I work for the courier service,11,12,Topicalized Non-argument Constituent
28,why are you telling this to everybody?,1,5,None of the Above
29,"first of all, we can see a plate the right side",1,1,None of the Above
30,She was brought up there and her college was there too,1,1,None of the Above
31,those who come here definitely they should learn English,6,21,Left Dislocation
32,We don’t feel that we should go any other country.,0,1,Preposition Omission
33,"It’s come from me, no?",12,1,"Invariant Tag ""isn’t it, no, na"""
34,open a shop wherever there is a foot traffic,9,2,Mass Nouns As Count Nouns
35,for many years I did not travel,11,1,Topicalized Non-argument Constituent
36,and in the background there are a lot of buildings,11,9,Topicalized Non-argument Constituent
37,we will be knowing how much the structure is getting deflected,13,6,Stative Progressive
38,Chandigarh was full of employed people.,1,15,None of the Above
39,"We are like we are in touch, but not before when we was in school and all.",10,1,Lack Of Agreement
40,you can say anything but tenth I’m leaving,2,1,Article Omission
41,they are speaking Portuguese in Brazil,13,6,Stative Progressive
42,in fifteen years lot of changes we have seen,14,1,Object Fronting
43,he didn’t give me,15,0,Direct Object Pronoun Drop
44,"he liked it, didn’t he, even though you said he wouldn’t",1,8,None of the Above
45,he is having a television,13,16,Stative Progressive
46,we will know how much the structure is getting deflected,1,7,None of the Above
47,and the production function gives you the relationship between input and output,2,10,Article Omission
48,"first of all, right side we can see a plate",16,11,Prepositional Phrase Fronting With Reduction
49,Tirupati temple I stayed one or two days,2,1,Article Omission
50,"actually, this part I have not been",0,1,Preposition Omission
51,he do a lot of things,10,19,Lack Of Agreement
52,"first of all, we can see a plate the right side",0,1,Preposition Omission
53,we can only see the blue sky,1,10,None of the Above
54,some people are very nice,1,1,None of the Above
55,and the production function is giving you the relationship between input and output,13,2,Stative Progressive
56,she gets nightmares,1,5,None of the Above
57,in our old age we can go and enjoy it,1,13,None of the Above
58,I think Nina must know her sister,1,1,None of the Above
59,I think she is a teacher.,1,21,None of the Above
60,my bother said that one of his favorite places is the beach nearby,1,0,None of the Above
61,My daughter she is attending the University of Delhi.,6,6,Left Dislocation
62,a recipe is simple thing,2,1,Article Omission
63,They have pressure from their in-laws.,1,20,None of the Above
64,two years I stayed alone,16,2,Prepositional Phrase Fronting With Reduction
65,all the music is very good,1,1,None of the Above
66,daytime I work for the courier service,11,1,Topicalized Non-argument Constituent
67,"yeah, so my parent’s house I go very often",16,2,Prepositional Phrase Fronting With Reduction
68,union person contacted his representative at the school,2,6,Article Omission
69,I don’t know now what they are doing,1,16,None of the Above
70,they are getting H1B visas to come to the country,17,1,Habitual Progressive
71,what you are doing?,18,1,Lack Of Inversion In Wh-questions
72,because there is no individuality in India,1,6,None of the Above
73,Whereas we had lot of time and we didn’t have any TV and all and we used to play outdoor games.,4,11,"General Extender ""and all"""
74,I’m working very near my house,1,1,None of the Above
75,they tease the new children when they join,1,1,None of the Above
76,I love to go shopping with your mother,1,1,None of the Above
77,I think you should start going to the gym from now.,1,17,None of the Above
78,you can say anything but tenth I’m leaving,16,19,Prepositional Phrase Fronting With Reduction
79,"the children are playing outside, no?",12,1,"Invariant Tag ""isn’t it, no, na"""
80,I’m going to find my bag which I left in the room.,1,1,None of the Above
81,Because educated people get a good money.,19,11,Extraneous Article
82,she doesn’t like,15,1,Direct Object Pronoun Drop
83,Whereas we had lot of time and we didn’t have any TV and we used to play outdoor games.,1,1,None of the Above
84,it was first day of term,2,1,Article Omission
85,I did one refresher course in the month of June itself.,20,1,Focus Itself
86,"My parents and siblings, they really enjoy playing board games.",6,6,Left Dislocation
87,"The book that I left here, where is it?",1,1,None of the Above
88,"A person living in Calcutta, who didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",1,1,None of the Above
89,in fifteen years we have seen a lot of changes,1,22,None of the Above
90,he likes here more,15,1,Direct Object Pronoun Drop
91,"he liked it, na, even though you said he wouldn’t",12,1,"Invariant Tag ""isn’t it, no, na"""
92,the school principal called me to ask when are you going back,21,10,Inversion In Embedded Clause
93,for two years I stayed alone,1,22,None of the Above
94,he has a television,1,4,None of the Above
95,"the children are playing outside, na?",12,1,"Invariant Tag ""isn’t it, no, na"""
96,I went one year there.,0,1,Preposition Omission
97,and all the company people are my clients,1,1,None of the Above
98,"yeah, so to my parent’s house I go very often",11,11,Topicalized Non-argument Constituent
99,the store is around the corner by the post office,1,1,None of the Above
100,they are teasing the new children when they join,17,1,Habitual Progressive
101,all the musics are very good,9,1,Mass Nouns As Count Nouns
102,"first of all, right side we can see a plate",2,1,Article Omission
103,He is doing Engineering in Delhi.,1,2,None of the Above
104,she doesn’t like it,1,1,None of the Above
105,So if you’re not good at communication you may get filtered at the first level itself,20,10,Focus Itself
106,Chandigarh was full of the employed people.,19,3,Extraneous Article
107,you cannot ask them why are they not coming for clinic visits,21,1,Inversion In Embedded Clause
108,"the camera, the dog is facing towards it",6,10,Left Dislocation
109,"The cake, I like it very much.",7,6,Resumptive Object Pronoun
110,every year there is inflation,1,8,None of the Above
111,"the store is around the corner, na, by the post office",12,1,"Invariant Tag ""isn’t it, no, na"""
112,So I did my schooling and all from there.,4,12,"General Extender ""and all"""
113,I’m going to find my bag which I left it in the room.,7,1,Resumptive Object Pronoun
114,You get on the train and buy the ticket there too,1,6,None of the Above
115,"We are like we are in touch, but not before when we was in school.",1,14,None of the Above
116,where you will get anything?,18,15,Lack Of Inversion In Wh-questions
117,"actually, I have not been to this part",1,17,None of the Above
118,open a shop wherever there is foot traffic,1,1,None of the Above
119,everyone gets that vaccination in childhood,1,17,None of the Above
120,he talks to them,1,2,None of the Above
121,"The cake, I like it very much.",6,1,Left Dislocation
122,Tirupati temple I stayed one or two days,16,13,Prepositional Phrase Fronting With Reduction
123,and the production function is giving you the relationship between input and output,2,21,Article Omission
124,"Sorry I can’t come, everything busy in our life.",22,1,Copula Omission
125,So I did my schooling from there.,1,1,None of the Above
126,"My parents and siblings, they really enjoy playing board games.",1,1,None of the Above
127,he didn’t give it to me,1,12,None of the Above
128,My daughter she is attending the University of Delhi.,8,1,Resumptive Subject Pronoun
129,But I did have some difficulty getting to know people among Indians themselves,1,1,None of the Above
130,"first of all, we can see a plate on the right side",1,1,None of the Above
131,They have a pressure from their in-laws.,19,22,Extraneous Article
132,i have to make not so much adjustment,1,20,None of the Above
133,ten years ago you didn’t operated a machine that could lift a house all by itself,10,1,Lack Of Agreement
134,we have two tailors who can make clothes for us,1,1,None of the Above
135,recipe is simple thing,2,1,Article Omission
136,I think you should start going to the gym from now itself.,20,1,Focus Itself
137,"yeah, so I go very often to my parent’s house",1,2,None of the Above
138,I think she a teacher.,22,1,Copula Omission
