model_name,num_samples,relative_error
gpt-4,20,30.45058139534882
gpt-4,38,30.45058139534882
gpt-4,56,30.17441860465118
gpt-4,75,29.898255813953497
gpt-4,93,29.622093023255832
gpt-4,111,29.345930232558153
gpt-4,130,29.069767441860467
gpt-4,148,29.069767441860467
gpt-4,166,27.96511627906978
gpt-4,185,27.412790697674435
gpt-4,203,27.136627906976745
gpt-4,221,26.584302325581408
gpt-4,240,26.584302325581408
gpt-4,258,26.30813953488371
gpt-4,276,26.031976744186053
gpt-4,295,25.75581395348839
gpt-4,313,25.203488372093037
gpt-4,331,24.680232558139547
gpt-4,350,23.895348837209323
