model_name,num_samples,relative_error
gpt-4,20,26.21627906976744
gpt-4,38,18.63662790697674
gpt-4,56,14.88700410396717
gpt-4,75,12.8
gpt-4,93,11.162309542902968
gpt-4,111,9.703654485049837
gpt-4,130,9.164889393079978
gpt-4,148,8.64186046511628
gpt-4,166,8.166547406082291
gpt-4,185,7.801964715316762
gpt-4,203,7.29375
gpt-4,221,6.830232558139533
gpt-4,240,6.748558139534885
gpt-4,258,6.489922480620155
gpt-4,276,6.406415396952685
gpt-4,295,6.063840960240058
gpt-4,313,5.547911722828667
gpt-4,331,5.503890876565296
gpt-4,350,5.2667441860465125
